,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
0,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1961,1961,tonnes,34600.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
1,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1962,1962,tonnes,32950.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
2,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1963,1963,tonnes,35000.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
3,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1964,1964,tonnes,35124.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
4,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1965,1965,tonnes,35721.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
5,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1966,1966,tonnes,36562.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
6,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1967,1967,tonnes,38548.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
7,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1968,1968,tonnes,39648.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
8,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1969,1969,tonnes,39436.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
9,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1970,1970,tonnes,40703.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
10,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1971,1971,tonnes,41831.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
11,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1972,1972,tonnes,45181.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
12,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1973,1973,tonnes,49018.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
13,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1974,1974,tonnes,53000.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
14,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1975,1975,tonnes,69731.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
15,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1976,1976,tonnes,62790.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
16,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1977,1977,tonnes,65344.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
17,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1978,1978,tonnes,62365.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
18,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1979,1979,tonnes,62951.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
19,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1980,1980,tonnes,69684.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
20,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1981,1981,tonnes,63213.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
21,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1982,1982,tonnes,65416.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
22,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1983,1983,tonnes,65092.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
23,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1984,1984,tonnes,56571.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
24,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1985,1985,tonnes,55123.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
25,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1986,1986,tonnes,56844.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
26,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1987,1987,tonnes,58814.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
27,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1988,1988,tonnes,58253.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
28,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1989,1989,tonnes,65407.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
29,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1990,1990,tonnes,58904.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
30,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1991,1991,tonnes,78452.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
31,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1992,1992,tonnes,59083.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
32,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1993,1993,tonnes,64868.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
33,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1994,1994,tonnes,64787.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
34,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1995,1995,tonnes,56965.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
35,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1996,1996,tonnes,66321.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
36,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1997,1997,tonnes,68454.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
37,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1998,1998,tonnes,54970.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
38,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,1999,1999,tonnes,51595.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
39,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,2000,2000,tonnes,50163.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
40,QC,Crops,5000,World,5510,Production,800,Agave fibres nes,2001,2001,tonnes,48669.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
