Date,Lat,Long,Mag
1/1/2006,31.394,140.131,5.6
1/1/2006,4.735,95.144,5.5
1/2/2006,12.361,144.31,5.7
1/2/2006,-60.957,-21.606,7.4
1/2/2006,-4.883,152.343,5.6
1/2/2006,-19.926,-178.178,7.2
1/3/2006,13.841,145.287,5.8
1/4/2006,28.164,-112.117,6.6
1/4/2006,-22.855,-66.172,5.5
1/5/2006,-56.552,-24.954,5.7
1/6/2006,6.635,-82.337,6.1
1/7/2006,52.415,173.613,5.5
1/8/2006,36.311,23.212,6.7
1/10/2006,37.057,-14.133,5.5
1/11/2006,43.507,-127.266,5.6
1/15/2006,-7.826,122.597,6.1
1/18/2006,37.774,142.131,5.7
1/18/2006,-36.411,-100.496,5.8
1/20/2006,31.066,-41.422,5.7
1/20/2006,-22.399,173.967,5.7
1/21/2006,13.002,93.245,5.6
1/23/2006,-17.391,167.715,6.4
1/23/2006,-25.326,178.316,5.6
1/23/2006,6.864,-77.793,6.2
1/23/2006,6.847,-77.974,5.5
1/24/2006,-54.16,-135.746,5.5
1/26/2006,-30.688,-177.791,5.6
1/26/2006,-65.417,179.489,5.6
1/27/2006,-5.473,128.131,7.6
1/28/2006,-5.055,104.154,5.7
1/31/2006,2.703,96.073,5.9
2/2/2006,-21.178,169.609,5.6
2/2/2006,-17.747,-178.39,6.7
2/3/2006,36.156,141.449,5.7
2/3/2006,-16.361,-173.747,5.6
2/3/2006,11.86,92.372,6.1
2/4/2006,1.093,-90.46,5.9
2/5/2006,66.297,-142.686,5.5
2/6/2006,-6.05,150.013,5.6
2/6/2006,56.188,164.198,5.7
2/7/2006,-18.235,168.09,5.6
2/8/2006,-54.502,143.812,5.9
2/8/2006,-7.147,127.736,5.5
2/9/2006,-7.694,121.646,5.5
2/9/2006,-57.211,-141.265,5.5
2/14/2006,20.821,146.18,6.3
2/16/2006,-15.98,-173.02,5.8
2/17/2006,24.021,141.489,5.6
2/17/2006,-1.48,-15.104,5.8
2/18/2006,-16.797,167.207,5.9
2/18/2006,-5.193,152.053,6.2
2/20/2006,13.164,-87.561,5.5
2/22/2006,-21.324,33.583,7
1/5/2007,55.755,-156.061,5.8
1/8/2007,8.077,92.437,6.1
1/8/2007,39.803,70.312,6
1/8/2007,-18.58,-177.847,6.3
1/9/2007,59.42,-137.118,5.7
1/11/2007,-3.655,127.283,6
