Date,Lat,Long,Mag
1/2/1965,19.246,145.616,6
1/4/1965,1.863,127.352,5.8
1/5/1965,-20.579,-173.972,6.2
1/8/1965,-59.076,-23.557,5.8
1/9/1965,11.938,126.427,5.8
1/10/1965,-13.405,166.629,6.7
1/12/1965,27.357,87.867,5.9
1/15/1965,-13.309,166.212,6
1/16/1965,-56.452,-27.043,6
1/17/1965,-24.563,178.487,5.8
1/17/1965,-6.807,108.988,5.9
1/24/1965,-2.608,125.952,8.2
1/29/1965,54.636,161.703,5.5
2/1/1965,-18.697,-177.864,5.6
2/2/1965,37.523,73.251,6
2/4/1965,-51.84,139.741,6.1
2/4/1965,51.251,178.715,8.7
2/4/1965,51.639,175.055,6
2/4/1965,52.528,172.007,5.7
2/4/1965,51.626,175.746,5.8
2/4/1965,51.037,177.848,5.9
2/4/1965,51.73,173.975,5.9
2/4/1965,51.775,173.058,5.7
2/4/1965,52.611,172.588,5.7
2/4/1965,51.831,174.368,5.7
2/4/1965,51.948,173.969,5.6
2/4/1965,51.443,179.605,7.3
2/4/1965,52.773,171.974,6.5
2/4/1965,51.772,174.696,5.6
2/4/1965,52.975,171.091,6.4
2/4/1965,52.99,170.874,5.8
2/4/1965,51.536,175.045,5.8
2/4/1965,13.245,-44.922,5.8
2/4/1965,51.812,174.206,5.7
2/5/1965,51.762,174.841,5.7
2/5/1965,52.438,174.321,6.3
2/5/1965,51.946,173.84,5.7
2/5/1965,51.738,174.566,6
2/5/1965,51.487,176.558,5.6
2/6/1965,53.008,-162.008,6.4
2/6/1965,52.184,175.505,6.2
2/6/1965,52.076,172.918,5.6
2/6/1965,51.744,175.213,5.7
2/6/1965,52.057,174.116,5.7
2/6/1965,53.191,-161.859,6.3
2/6/1965,51.447,176.469,5.8
2/7/1965,51.258,173.393,5.7
2/7/1965,52.031,175.411,5.7
2/7/1965,51.294,179.092,5.8
2/8/1965,55.223,165.426,5.9
2/9/1965,-18.718,169.386,5.6
2/9/1965,52.815,171.904,6
2/12/1965,52.188,172.752,5.8
2/15/1965,51.009,179.325,5.8
2/15/1965,3.026,125.951,5.9
2/16/1965,38.908,142.095,5.7
2/17/1965,51.694,176.446,5.7
2/17/1965,21.527,143.081,5.6
2/18/1965,25.011,94.186,5.6
2/18/1965,-7.251,126.715,5.9
2/18/1965,51.415,179.358,5.8
2/21/1965,-15.343,-172.889,5.8
2/23/1965,-25.633,-70.679,7
2/25/1965,-5.461,151.98,6.2
2/25/1965,51.884,173.072,6.2
2/26/1965,6.746,-72.971,5.6
2/27/1965,28.133,-112.208,6
3/1/1965,-5.377,152.115,5.9
3/1/1965,21.104,121.218,5.7
3/1/1965,-5.371,152.055,5.5
3/1/1965,21.122,121.148,5.6
3/1/1965,52.204,173.911,5.7
3/1/1965,15.404,-92.623,5.6
3/2/1965,38.399,28.226,5.8
3/3/1965,-27.145,-177.262,5.6
3/3/1965,-5.514,151.819,6.7
3/3/1965,53.046,171.308,6.3
3/4/1965,-5.487,146.993,5.7
3/5/1965,50.928,179.511,5.5
3/5/1965,52.39,174.937,5.6
3/5/1965,-27.027,-63.214,5.8
3/5/1965,52.416,174.239,5.6
3/6/1965,-18.425,-132.923,5.6
3/6/1965,20.13,121.461,5.8
3/7/1965,-29.998,-177.968,6
3/9/1965,39.197,23.86,6.1
3/13/1965,53.292,-162.331,5.7
3/14/1965,36.405,70.724,7.4
3/15/1965,22.635,121.117,5.8
3/16/1965,40.697,143.032,6.4
3/17/1965,52.785,171.821,6
3/18/1965,-20.036,-175.89,6.3
3/18/1965,-55.857,-26.758,5.7
3/19/1965,-1.887,119.836,6
3/21/1965,-1.547,126.623,6.3
3/22/1965,-15.262,-173.254,6.5
3/22/1965,-31.974,-71.573,6.2
3/23/1965,-15.382,-173.194,6.2
3/24/1965,8.418,126.553,5.7
3/28/1965,55.26,161.904,5.8
3/28/1965,-32.522,-71.233,7.4
3/29/1965,40.687,142.915,6.4
3/30/1965,-20.502,-173.701,5.9
3/30/1965,50.282,177.959,7.6
3/31/1965,38.365,22.405,6.8
1/5/1966,13.248,95.42,5.8
1/11/1966,0.586,120.141,5.9
1/11/1966,33.675,137.244,6
1/13/1966,52.829,172.048,5.7
1/16/1966,52.764,172.058,5.8
1/20/1966,37.883,138.151,5.8
1/22/1966,55.956,-153.942,6.2
1/24/1966,30.013,69.606,5.8
1/26/1966,-59.548,-26.465,5.6
1/28/1966,-17.114,168.559,6
1/28/1966,51.514,157.119,5.6
1/31/1966,-24.837,-64.413,5.7
2/3/1966,0.211,123.555,5.7
2/3/1966,16.709,119.973,5.7
2/3/1966,24.13,121.966,5.8
2/4/1966,-15.899,167.914,6.4
2/5/1966,39.093,21.777,6.2
2/5/1966,26.246,103.187,6.4
2/5/1966,50.023,155.506,5.9
2/7/1966,29.956,69.761,6.5
2/7/1966,30.276,70.041,6.5
2/9/1966,-56.79,-25.965,6.3
2/9/1966,-9.851,116.376,5.8
2/10/1966,31.193,142.001,5.8
2/10/1966,20.711,146.163,6.5
