Date,Lat,Long,Mag
2/20/2004,-11.608,166.45,6
2/21/2004,-58.425,-14.963,6.6
2/22/2004,-1.559,100.488,6
2/22/2004,18.505,145.387,5.7
2/23/2004,-14.74,-175.63,6.3
2/24/2004,35.142,-3.997,6.4
2/25/2004,54.615,162.814,5.5
2/25/2004,-20.667,-175.033,5.8
2/25/2004,13.991,-92.145,5.9
2/26/2004,-27.781,-176.54,5.6
2/26/2004,8.288,123.515,5.5
2/26/2004,-18.171,66.419,6.3
2/26/2004,-53.159,159.651,6
2/27/2004,-34.121,-112.516,5.7
3/1/2004,37.136,22.116,5.6
3/2/2004,11.61,-86.767,6.2
3/4/2004,-32.405,-178.59,5.5
3/5/2004,-3.414,145.35,5.6
3/5/2004,-20.615,-178.837,5.6
3/6/2004,-5.112,152.588,5.5
3/6/2004,12.959,93.135,5.5
3/7/2004,-32.544,-178.597,5.6
3/7/2004,-32.381,-178.191,6
3/7/2004,31.639,91.236,5.6
3/7/2004,-32.527,-178.296,5.8
3/8/2004,-20.856,-179.008,5.6
3/8/2004,10.48,-43.919,6
3/9/2004,-2.131,125.106,5.6
3/9/2004,-65.198,179.71,5.9
3/9/2004,-32.559,-177.97,5.8
3/9/2004,-32.265,-178.358,6.2
3/10/2004,-32.343,-178.119,5.7
3/12/2004,-15.579,-175.096,6
3/12/2004,36.397,70.774,5.8
3/14/2004,-32.285,-178.369,5.6
3/14/2004,-17.267,-172.316,6.1
3/15/2004,2.07,126.695,5.5
3/17/2004,-21.118,-65.586,6.1
3/17/2004,34.589,23.326,6.1
3/17/2004,11.155,124.708,5.5
3/17/2004,-30.318,-178.082,5.5
3/17/2004,-32.01,-66.699,5.5
3/18/2004,-23.759,-176.002,6.2
3/19/2004,-34.5,55.28,5.7
3/20/2004,53.829,160.468,5.6
3/22/2004,-22.938,-64.359,5.8
3/23/2004,18.774,144.735,5.5
3/23/2004,18.788,144.764,5.7
3/24/2004,45.382,118.256,5.5
3/25/2004,-6.184,129.121,5.6
3/25/2004,39.93,40.812,5.6
3/26/2004,41.863,144.209,5.8
3/27/2004,-6.256,154.76,5.9
3/27/2004,33.954,89.179,6
3/28/2004,39.847,40.874,5.6
3/31/2004,-25.184,-67.545,5.5
3/1/2005,-24.964,-112.124,5.6
3/2/2005,-6.527,129.933,7.1
3/4/2005,2.67,126.407,5.9
3/5/2005,24.637,121.935,5.7
3/5/2005,24.722,121.918,5.7
3/6/2005,-11.062,163.207,5.9
